"No.","Time","Length","TX Rate","Delta Time"
"349","1.580478","154","72.2","0.000310"
"350","1.582544","39","24.0","0.002066"
"351","1.582642","57","24.0","0.000098"
"352","1.585195","286","1.0","0.002553"
"353","1.586335","126","1.0","0.001140"
"354","1.587525","107","1.0","0.001190"
"355","1.587608","39","24.0","0.000083"
"356","1.587732","57","24.0","0.000124"
"357","1.588984","126","1.0","0.001252"
"358","1.590379","154","72.2","0.001395"
"359","1.596559","39","24.0","0.006180"
"360","1.596657","57","24.0","0.000098"
"361","1.596730","57","24.0","0.000073"
"362","1.603357","154","72.2","0.006627"
"363","1.605524","39","24.0","0.002167"
"364","1.605606","57","24.0","0.000082"
"365","1.616775","148","72.2","0.011169"
"366","1.617785","148","72.2","0.001010"
"367","1.617881","1602","72.2","0.000096"
"368","1.618001","1602","72.2","0.000120"
"369","1.618597","1521","72.2","0.000596"
"370","1.620011","39","24.0","0.001414"
"371","1.620108","57","24.0","0.000097"
"372","1.632685","823","6.0","0.012577"
"373","1.634393","437","6.0","0.001708"
"374","1.683509","39","24.0","0.049116"
"375","1.683619","57","24.0","0.000110"
"376","1.683853","39","24.0","0.000234"
"377","1.687600","286","1.0","0.003747"
"378","1.692628","169","6.0","0.005028"
"379","1.696580","823","6.0","0.003952"
"380","1.706583","39","24.0","0.010003"
"381","1.706682","193","72.2","0.000099"
"382","1.707293","57","12.0","0.000611"
"383","1.708757","39","24.0","0.001464"
"384","1.708857","57","24.0","0.000100"
"385","1.710680","39","24.0","0.001823"
"386","1.710811","57","24.0","0.000131"
"387","1.725649","148","72.2","0.014838"
"388","1.736798","437","6.0","0.011149"
"389","1.763688","39","24.0","0.026890"
"390","1.764635","39","24.0","0.000947"
"391","1.768534","823","6.0","0.003899"
"392","1.779828","39","24.0","0.011294"
"393","1.780403","39","24.0","0.000575"
"394","1.781125","39","24.0","0.000722"
"395","1.781731","39","24.0","0.000606"
"396","1.789840","286","1.0","0.008109"
"397","1.796044","700","72.2","0.006204"
"398","1.798106","39","24.0","0.002062"
"399","1.798179","57","24.0","0.000073"
"400","1.802492","39","24.0","0.004313"
"401","1.802565","57","24.0","0.000073"
"402","1.804406","39","24.0","0.001841"
"403","1.804479","57","24.0","0.000073"
"404","1.805043","169","6.0","0.000564"
"405","1.816001","39","24.0","0.010958"
"406","1.816073","57","24.0","0.000072"
"407","1.822311","142","72.2","0.006238"
"408","1.822383","142","72.2","0.000072"
"409","1.824585","39","24.0","0.002202"
"410","1.824657","57","24.0","0.000072"
"411","1.832493","823","6.0","0.007836"
"412","1.834563","162","72.2","0.002070"
"413","1.836478","39","24.0","0.001915"
"414","1.836579","57","24.0","0.000101"
"415","1.839190","437","6.0","0.002611"
"416","1.860511","154","72.2","0.021321"
"417","1.864634","1602","72.2","0.004123"
"418","1.864731","1602","72.2","0.000097"
"419","1.864894","1130","72.2","0.000163"
"420","1.865765","39","24.0","0.000871"
"421","1.865863","57","24.0","0.000098"
"422","1.866150","39","24.0","0.000287"
"423","1.866250","57","24.0","0.000100"
"424","1.880321","39","24.0","0.014071"
"425","1.880419","57","24.0","0.000098"
"426","1.892420","286","1.0","0.012001"
"427","1.893597","126","1.0","0.001177"
"428","1.896676","823","6.0","0.003079"
"429","1.907922","57","12.0","0.011246"
"430","1.919511","169","6.0","0.011589"
"431","1.936536","39","6.0","0.017025"
"432","1.940525","154","72.2","0.003989"
"433","1.941603","437","6.0","0.001078"
"434","1.942533","39","24.0","0.000930"
"435","1.942631","57","24.0","0.000098"
"436","1.961466","823","6.0","0.018835"
"437","1.961622","154","72.2","0.000156"
"438","1.961697","205","72.2","0.000075"
"439","1.963395","39","24.0","0.001698"
"440","1.963493","57","24.0","0.000098"
"441","1.980179","406","72.2","0.016686"
"442","1.982527","39","24.0","0.002348"
"443","1.982609","57","24.0","0.000082"
"444","1.994913","286","1.0","0.012304"
"445","1.996135","39","24.0","0.001222"
"446","1.996233","57","24.0","0.000098"
"447","2.003716","39","24.0","0.007483"
"448","2.004603","39","24.0","0.000887"
"449","2.027107","823","6.0","0.022504"
"450","2.031430","169","6.0","0.004323"
"451","2.047141","682","72.2","0.015711"
"452","2.049304","39","24.0","0.002163"
"453","2.049401","57","24.0","0.000097"
"454","2.049955","39","24.0","0.000554"
"455","2.050593","39","24.0","0.000638"
"456","2.053304","39","24.0","0.002711"
"457","2.053385","57","24.0","0.000081"
"458","2.074460","248","72.2","0.021075"
"459","2.076707","39","24.0","0.002247"
"460","2.076803","57","24.0","0.000096"
"461","2.078427","39","24.0","0.001624"
"462","2.078509","57","24.0","0.000082"
"463","2.097099","286","1.0","0.018590"
"464","2.098224","823","6.0","0.001125"
"465","2.108286","57","12.0","0.010062"
"466","2.115011","412","72.2","0.006725"
"467","2.117540","39","24.0","0.002529"
"468","2.117640","57","24.0","0.000100"
"469","2.119334","39","24.0","0.001694"
"470","2.119416","57","24.0","0.000082"
"471","2.143945","169","6.0","0.024529"
"472","2.144864","232","72.2","0.000919"
"473","2.147092","39","24.0","0.002228"
"474","2.147173","57","24.0","0.000081"
"475","2.148555","39","24.0","0.001382"
"476","2.148654","57","24.0","0.000099"
"477","2.170830","823","6.0","0.022176"
"478","2.174215","224","72.2","0.003385"
"479","2.176519","39","24.0","0.002304"
"480","2.176617","57","24.0","0.000098"
"481","2.178124","39","24.0","0.001507"
"482","2.178206","57","24.0","0.000082"
"483","2.199613","286","1.0","0.021407"
"484","2.200705","126","1.0","0.001092"
"485","2.201996","126","1.0","0.001291"
"486","2.202095","232","72.2","0.000099"
"487","2.204089","39","24.0","0.001994"
"488","2.204189","57","24.0","0.000100"
"489","2.208824","39","24.0","0.004635"
"490","2.208922","57","24.0","0.000098"
"491","2.224828","823","6.0","0.015906"
"492","2.230745","199","72.2","0.005917"
"493","2.232744","39","24.0","0.001999"
"494","2.232877","57","24.0","0.000133"
"495","2.235144","39","24.0","0.002267"
"496","2.235242","57","24.0","0.000098"
"497","2.243834","39","24.0","0.008592"
"498","2.244617","39","24.0","0.000783"
"499","2.248811","437","6.0","0.004194"
"500","2.288806","823","6.0","0.039995"
"501","2.302058","287","1.0","0.013252"
"502","2.302146","39","24.0","0.000088"
"503","2.302269","224","72.2","0.000123"
"504","2.304875","39","24.0","0.002606"
"505","2.304956","57","24.0","0.000081"
"506","2.306597","39","24.0","0.001641"
"507","2.306694","57","24.0","0.000097"
"508","2.309133","57","6.0","0.002439"
"509","2.321124","39","24.0","0.011991"
"510","2.322204","39","24.0","0.001080"
"511","2.322798","39","24.0","0.000594"
"512","2.323408","39","24.0","0.000610"
"513","2.343729","232","72.2","0.020321"
"514","2.351102","437","6.0","0.007373"
"515","2.352557","823","6.0","0.001455"
"516","2.353760","39","24.0","0.001203"
"517","2.353857","57","24.0","0.000097"
"518","2.369940","169","6.0","0.016083"
"519","2.375739","234","72.2","0.005799"
"520","2.377858","39","24.0","0.002119"
"521","2.377961","57","24.0","0.000103"
"522","2.383109","39","24.0","0.005148"
"523","2.383188","57","24.0","0.000079"
"524","2.383302","57","24.0","0.000114"
"525","2.400519","39","24.0","0.017217"
"526","2.400617","57","24.0","0.000098"
"527","2.404813","185","72.2","0.004196"
"528","2.404910","154","72.2","0.000097"
"529","2.407026","39","24.0","0.002116"
"530","2.407126","57","24.0","0.000100"
"531","2.424673","823","6.0","0.017547"
"532","2.424806","162","72.2","0.000133"
"533","2.428323","39","24.0","0.003517"
"534","2.428422","57","24.0","0.000099"
"535","2.428495","39","24.0","0.000073"
"536","2.442648","39","24.0","0.014153"
"537","2.442746","57","24.0","0.000098"
"538","2.453766","45","24.0","0.011020"
"539","2.465917","154","72.2","0.012151"
"540","2.466910","1602","72.2","0.000993"
"541","2.467085","1602","72.2","0.000175"
"542","2.467158","1130","72.2","0.000073"
"543","2.469128","39","24.0","0.001970"
"544","2.469205","57","24.0","0.000077"
"545","2.484327","169","6.0","0.015122"
"546","2.484658","39","6.0","0.000331"
"547","2.488645","823","6.0","0.003987"
"548","2.488800","39","24.0","0.000155"
"549","2.488873","57","24.0","0.000073"
"550","2.499473","57","24.0","0.010600"
"551","2.507120","286","1.0","0.007647"
"552","2.508404","126","1.0","0.001284"
"553","2.509150","57","12.0","0.000746"
"554","2.548533","154","72.2","0.039383"
"555","2.550433","39","24.0","0.001900"
"556","2.550515","57","24.0","0.000082"
"557","2.552772","823","6.0","0.002257"
"558","2.556014","437","6.0","0.003242"
"559","2.567645","154","72.2","0.011631"
"560","2.567791","205","72.2","0.000146"
"561","2.569698","39","24.0","0.001907"
"562","2.569778","57","24.0","0.000080"
"563","2.588652","406","72.2","0.018874"
"564","2.590984","39","24.0","0.002332"
"565","2.591060","57","24.0","0.000076"
"566","2.593754","39","24.0","0.002694"
"567","2.595343","169","6.0","0.001589"
"568","2.595898","39","24.0","0.000555"
"569","2.601576","39","24.0","0.005678"
"570","2.601673","57","24.0","0.000097"
"571","2.609102","286","1.0","0.007429"
"572","2.616543","823","6.0","0.007441"
"573","2.652599","682","72.2","0.036056"
"574","2.654757","39","24.0","0.002158"
"575","2.654854","57","24.0","0.000097"
"576","2.656714","39","24.0","0.001860"
"577","2.656796","57","24.0","0.000082"
"578","2.677152","248","72.2","0.020356"
"579","2.679277","39","24.0","0.002125"
"580","2.679355","57","24.0","0.000078"
"581","2.680628","823","6.0","0.001273"
"582","2.680785","39","24.0","0.000157"
"583","2.680931","57","24.0","0.000146"
"584","2.708154","169","6.0","0.027223"
"585","2.711655","286","1.0","0.003501"
"586","2.711767","57","12.0","0.000112"
"587","2.716153","446","72.2","0.004386"
"588","2.718285","39","24.0","0.002132"
"589","2.720570","39","24.0","0.002285"
"590","2.720653","57","24.0","0.000083"
"591","2.723751","39","24.0","0.003098"
"592","2.724630","39","24.0","0.000879"
"593","2.742658","347","1.0","0.018028"
"594","2.744611","823","6.0","0.001953"
"595","2.760927","437","6.0","0.016316"
"596","2.814376","287","1.0","0.053449"
"597","2.814517","39","24.0","0.000141"
"598","2.815527","126","1.0","0.001010"
"599","2.816685","823","6.0","0.001158"
"600","2.817805","126","1.0","0.001120"
"601","2.817889","232","72.2","0.000084"
"602","2.820000","39","24.0","0.002111"
"603","2.820081","57","24.0","0.000081"
"604","2.820948","169","6.0","0.000867"
"605","2.821874","39","24.0","0.000926"
"606","2.821971","57","24.0","0.000097"
"607","2.845477","232","72.2","0.023506"
"608","2.847614","39","24.0","0.002137"
"609","2.847772","57","24.0","0.000158"
"610","2.850789","39","24.0","0.003017"
"611","2.850887","57","24.0","0.000098"
"612","2.852805","39","6.0","0.001918"
"613","2.863330","437","6.0","0.010525"
"614","2.864977","39","24.0","0.001647"
"615","2.865640","39","24.0","0.000663"
"616","2.866437","39","24.0","0.000797"
"617","2.867045","39","24.0","0.000608"
"618","2.882847","823","6.0","0.015802"
